segment,batch,book,chapter,qc_pass,qc_reasons,duration_s,speech_duration_s,speech_begin_s,speech_end_s,leading_silence_s,trailing_silence_s,max_internal_silence_s,n_words_aligned,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr,aligned,segmentation_confidence,segmentation_reason,wav_path,txt_path,textgrid_path
JAS_001_seg_003,batch2,JAS,JAS_001,False,too_short,1.814,1.08,0.46,1.54,0.46,0.274,0.52,3,-61.97014200621547,-63.47063555036272,1.6645607778947202,3.6507828778723095,True,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_003.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_003.txt,data\processed\audio\phase3_verification\batch2\textgrids\speaker1\JAS_001_seg_003.TextGrid
JAS_001_seg_001,batch2,JAS,JAS_001,False,low_likelihood,3.591,2.28,1.01,3.29,1.01,0.301,0.94,11,-76.08560019150418,-69.10648712745079,1.624352317922973,3.651584091042009,True,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_001.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_001.txt,data\processed\audio\phase3_verification\batch2\textgrids\speaker1\JAS_001_seg_001.TextGrid
GAL_001_seg_026,batch2,GAL,GAL_001,True,,8.897,7.6,1.0,8.6,1.0,0.297,2.02,8,-64.12813377808989,-67.909054918987,1.537846988267404,0.8403967183158549,True,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_026.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_026.txt,data\processed\audio\phase3_verification\batch2\textgrids\speaker1\GAL_001_seg_026.TextGrid
ROM_008_seg_040,batch2,ROM,ROM_008,False,too_short,1.712,1.12,0.3,1.42,0.3,0.292,0.09,13,-66.42627238669591,-68.31173464716697,1.49029148735316,16.728553352272634,True,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_040.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_040.txt,data\processed\audio\phase3_verification\batch2\textgrids\speaker1\ROM_008_seg_040.TextGrid
JAS_001_seg_017,batch2,JAS,JAS_001,False,too_short,1.93,0.74,0.99,1.73,0.99,0.2,0.0,11,-66.04885342454664,-65.73428418343528,0.7453975266957923,1.191941247404399,True,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_017.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_017.txt,data\processed\audio\phase3_verification\batch2\textgrids\speaker1\JAS_001_seg_017.TextGrid
PHP_002_seg_013,batch2,PHP,PHP_002,False,too_short,2.2,1.28,0.68,1.96,0.68,0.24,0.31,15,-67.907421875,-68.48827273050944,0.6215706105866159,0.8699600999174706,True,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_013.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_013.txt,data\processed\audio\phase3_verification\batch2\textgrids\speaker1\PHP_002_seg_013.TextGrid
JAS_001_seg_036,batch2,JAS,JAS_001,False,alignment_failed,1.138,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_036.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_036.txt,
EPH_004_seg_016,batch2,EPH,EPH_004,False,alignment_failed,22.152,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_016.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_016.txt,
HEB_011_seg_088,batch2,HEB,HEB_011,False,alignment_failed,1.085,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_088.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_088.txt,
EPH_004_seg_043,batch2,EPH,EPH_004,False,alignment_failed,4.585,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_043.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_043.txt,
EPH_004_seg_015,batch2,EPH,EPH_004,False,alignment_failed,9.459,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_015.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_015.txt,
ROM_008_seg_049,batch2,ROM,ROM_008,False,alignment_failed,1.1,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_049.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_049.txt,
EPH_004_seg_044,batch2,EPH,EPH_004,False,alignment_failed,1.069,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_044.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_044.txt,
HEB_011_seg_003,batch2,HEB,HEB_011,False,alignment_failed,16.012,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_003.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_003.txt,
ROM_008_seg_041,batch2,ROM,ROM_008,False,alignment_failed,2.309,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_041.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_041.txt,
GAL_001_seg_008,batch2,GAL,GAL_001,False,alignment_failed,16.853,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_008.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_008.txt,
